Alloy Symbol,deltaE *CO,Filling,Center,Width,Skewness,Kurtosis,Work function,Atomic radius,Spatial extent,Ionization potential,Electron affinity,Pauling electronegativity,Local Pauling electronegativity,Vad2 
Ag-Ni@Ag ,-0.14,0.98,-3.73,1.2,2.66,14.4,5.01,1.59,0.89,7.58,1.3,1.93,1.92,2.26
Ag-Cu@Ag ,-0.06,0.98,-4.01,1.18,2.61,15.3,5.01,1.59,0.89,7.58,1.3,1.93,1.92,2.26
Ag-Y@Ag ,-0.11,0.98,-4.36,1.14,4.02,24.83,5.01,1.59,0.89,7.58,1.3,1.93,1.57,2.26
Ag-Zr@Ag ,-0.13,0.97,-4.42,1.21,3.68,20.94,5.01,1.59,0.89,7.58,1.3,1.93,1.64,2.26
Ag-Nb@Ag ,-0.24,0.97,-4.33,1.26,3.24,16.96,5.01,1.59,0.89,7.58,1.3,1.93,1.78,2.26
Ag-Pd@Ag ,-0.15,0.98,-3.5,1.13,2.35,13.34,5.01,1.59,0.89,7.58,1.3,1.93,2.05,2.26
Ag-Ag@Ag ,-0.09,0.98,-3.92,1.1,2.38,16.87,5.01,1.59,0.89,7.58,1.3,1.93,1.93,2.26
Ag-La@Ag ,-0.12,0.98,-4.15,1.06,4.06,27.12,5.01,1.59,0.89,7.58,1.3,1.93,1.93,2.26
Ag-Ta@Ag ,-0.27,0.97,-4.41,1.35,3.06,15.39,5.01,1.59,0.89,7.58,1.3,1.93,1.73,2.26
Ag-Pt@Ag ,-0.23,0.98,-3.55,1.23,1.96,10.78,5.01,1.59,0.89,7.58,1.3,1.93,2.08,2.26
Ag-Au@Ag ,-0.12,0.98,-3.86,1.17,1.88,13.13,5.01,1.59,0.89,7.58,1.3,1.93,2.18,2.26
Au-Cu@Au ,-0.11,0.97,-3.4,1.45,1.41,7.73,6.01,1.59,1.01,9.23,2.31,2.54,2.23,3.35
Au-Y@Au ,-0.1,0.96,-4.01,1.47,2.63,12.8,6.01,1.59,1.01,9.23,2.31,2.54,1.83,3.35
Au-Ru@Au ,-0.47,0.96,-3.35,1.49,1.39,6.53,6.01,1.59,1.01,9.23,2.31,2.54,2.38,3.35
Au-Pd@Au ,-0.39,0.97,-2.89,1.39,1.19,6.4,6.01,1.59,1.01,9.23,2.31,2.54,2.38,3.35
Au-Ag@Au ,-0.18,0.97,-3.19,1.32,1.25,8.65,6.01,1.59,1.01,9.23,2.31,2.54,2.25,3.35
Au-La@Au ,-0.11,0.96,-3.71,1.36,2.49,13.27,6.01,1.59,1.01,9.23,2.31,2.54,1.75,3.35
Au-Pt@Au ,-0.51,0.97,-3.01,1.49,1.02,5.76,6.01,1.59,1.01,9.23,2.31,2.54,2.42,3.35
Au-Au@Au ,-0.26,0.97,-3.18,1.41,0.92,7.01,6.01,1.59,1.01,9.23,2.31,2.54,2.54,3.35
Ni-Sc@Ni ,-1.27,0.88,-1.22,1.28,1.46,7.33,5.77,1.38,0.71,7.64,1.16,1.91,1.64,1.16
Ni-Ti@Ni ,-1.3,0.88,-1.36,1.33,1.19,6.16,5.77,1.38,0.71,7.64,1.16,1.91,1.74,1.16
Ni-V@Ni ,-1.36,0.87,-1.43,1.36,0.9,5.19,5.77,1.38,0.71,7.64,1.16,1.91,1.78,1.16
Ni-Cr@Ni ,-1.39,0.87,-1.53,1.38,0.67,4.78,5.77,1.38,0.71,7.64,1.16,1.91,1.79,1.16
Ni-Co@Ni ,-1.45,0.87,-1.44,1.37,0.4,5.09,5.77,1.38,0.71,7.64,1.16,1.91,1.9,1.16
Ni-Ni@Ni ,-1.52,0.87,-1.32,1.33,0.36,5.23,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Ni-Cu@Ni ,-1.54,0.88,-1.11,1.26,0.31,6.41,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Ni-Y@Ni ,-1.23,0.88,-1.1,1.2,1.37,7.88,5.77,1.38,0.71,7.64,1.16,1.91,1.56,1.16
Ni-Zr@Ni ,-1.33,0.88,-1.19,1.27,1.23,7.16,5.77,1.38,0.71,7.64,1.16,1.91,1.63,1.16
Ni-Nb@Ni ,-1.47,0.87,-1.27,1.37,1.02,6.38,5.77,1.38,0.71,7.64,1.16,1.91,1.77,1.16
Ni-Mo@Ni ,-1.65,0.87,-1.35,1.4,0.64,5.57,5.77,1.38,0.71,7.64,1.16,1.91,2.02,1.16
Ni-Ru@Ni ,-1.87,0.87,-1.35,1.36,0.03,5.36,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ni-Rh@Ni ,-1.73,0.87,-1.3,1.34,0,5.4,5.77,1.38,0.71,7.64,1.16,1.91,2.07,1.16
Ni-Pd@Ni ,-1.68,0.87,-1.22,1.27,0.03,5.82,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ni-Ag@Ni ,-1.61,0.88,-1.08,1.18,0.04,8.36,5.77,1.38,0.71,7.64,1.16,1.91,1.92,1.16
Ni-Ta@Ni ,-1.44,0.88,-1.35,1.43,0.96,6.34,5.77,1.38,0.71,7.64,1.16,1.91,1.72,1.16
Ni-W@Ni ,-1.62,0.87,-1.43,1.5,0.63,5.73,5.77,1.38,0.71,7.64,1.16,1.91,2.1,1.16
Ni-Re@Ni ,-1.75,0.87,-1.5,1.54,0.22,5.31,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Ni-Os@Ni ,-1.87,0.87,-1.5,1.53,-0.13,5.45,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ni-Ir@Ni ,-1.8,0.87,-1.36,1.45,-0.38,6.06,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ni-Pt@Ni ,-1.74,0.87,-1.28,1.36,-0.33,6.43,5.77,1.38,0.71,7.64,1.16,1.91,2.07,1.16
Ni-Au@Ni ,-1.71,0.87,-1.08,1.24,-0.31,8.68,5.77,1.38,0.71,7.64,1.16,1.91,2.17,1.16
Pd-Sc@Pd ,-0.48,0.92,-2.39,1.5,1.69,7.11,5.9,1.52,0.94,8.34,0.56,2.2,1.78,2.78
Pd-Ti@Pd ,-0.53,0.93,-2.56,1.51,1.41,5.85,5.9,1.52,0.94,8.34,0.56,2.2,1.88,2.78
Pd-V@Pd ,-0.61,0.91,-2.53,1.54,1.17,4.95,5.9,1.52,0.94,8.34,0.56,2.2,1.93,2.78
Pd-Mn@Pd ,-0.68,0.92,-2.03,1.49,0.89,4.98,5.9,1.52,0.94,8.34,0.56,2.2,1.88,2.78
Pd-Co@Pd ,-0.9,0.92,-2.06,1.47,0.58,4.31,5.9,1.52,0.94,8.34,0.56,2.2,2.05,2.78
Pd-Ni@Pd ,-1.05,0.92,-1.9,1.43,0.55,4.25,5.9,1.52,0.94,8.34,0.56,2.2,2.07,2.78
Pd-Cu@Pd ,-1.12,0.93,-1.64,1.38,0.38,4.28,5.9,1.52,0.94,8.34,0.56,2.2,2.06,2.78
Pd-Y@Pd ,-0.55,0.92,-2.17,1.41,1.64,7.41,5.9,1.52,0.94,8.34,0.56,2.2,1.69,2.78
Pd-Zr@Pd ,-0.62,0.92,-2.32,1.55,1.6,6.93,5.9,1.52,0.94,8.34,0.56,2.2,1.76,2.78
Pd-Nb@Pd ,-0.72,0.92,-2.47,1.62,1.31,5.56,5.9,1.52,0.94,8.34,0.56,2.2,1.91,2.78
Pd-Mo@Pd ,-0.79,0.91,-2.46,1.61,0.99,4.53,5.9,1.52,0.94,8.34,0.56,2.2,2.18,2.78
Pd-Ru@Pd ,-1.09,0.91,-2.16,1.51,0.49,3.74,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd-Rh@Pd ,-1.18,0.91,-1.99,1.47,0.4,3.84,5.9,1.52,0.94,8.34,0.56,2.2,2.24,2.78
Pd-Pd@Pd ,-1.28,0.92,-1.67,1.36,0.23,3.93,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd-Ag@Pd ,-1.16,0.93,-1.4,1.28,-0.02,5.13,5.9,1.52,0.94,8.34,0.56,2.2,2.08,2.78
Pd-La@Pd ,-0.5,0.92,-1.96,1.32,1.28,8.09,5.9,1.52,0.94,8.34,0.56,2.2,1.62,2.78
Pd-Ta@Pd ,-0.74,0.92,-2.59,1.71,1.33,5.79,5.9,1.52,0.94,8.34,0.56,2.2,1.86,2.78
Pd-W@Pd ,-0.8,0.91,-2.67,1.75,1.02,4.7,5.9,1.52,0.94,8.34,0.56,2.2,2.27,2.78
Pd-Os@Pd ,-1.05,0.91,-2.5,1.71,0.42,3.71,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd-Ir@Pd ,-1.23,0.91,-2.23,1.63,0.21,3.76,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd-Pt@Pd ,-1.33,0.92,-1.82,1.49,0.03,4.01,5.9,1.52,0.94,8.34,0.56,2.2,2.24,2.78
Pd-Au@Pd ,-1.31,0.93,-1.51,1.39,-0.19,5.01,5.9,1.52,0.94,8.34,0.56,2.2,2.35,2.78
Pt-Sc@Pt ,-0.68,0.89,-2.46,1.9,1.31,5.16,6.74,1.53,1.04,9,2.13,2.28,1.81,3.9
Pt-Ti@Pt ,-0.77,0.89,-2.7,1.9,1.11,4.51,6.74,1.53,1.04,9,2.13,2.28,1.92,3.9
Pt-V@Pt ,-0.88,0.88,-2.65,1.93,0.9,3.93,6.74,1.53,1.04,9,2.13,2.28,1.96,3.9
Pt-Co@Pt ,-1.18,0.88,-2.12,1.81,0.5,3.77,6.74,1.53,1.04,9,2.13,2.28,2.09,3.9
Pt-Ni@Pt ,-1.36,0.88,-2.05,1.8,0.46,3.68,6.74,1.53,1.04,9,2.13,2.28,2.11,3.9
Pt-Cu@Pt ,-1.44,0.89,-1.76,1.74,0.36,3.88,6.74,1.53,1.04,9,2.13,2.28,2.1,3.9
Pt-Y@Pt ,-0.79,0.88,-2.33,1.8,1.31,5.54,6.74,1.53,1.04,9,2.13,2.28,1.73,3.9
Pt-Zr@Pt ,-0.89,0.88,-2.51,1.95,1.28,5.14,6.74,1.53,1.04,9,2.13,2.28,1.79,3.9
Pt-Nb@Pt ,-1.06,0.88,-2.6,2.02,1.04,4.24,6.74,1.53,1.04,9,2.13,2.28,1.95,3.9
Pt-Mo@Pt ,-1.09,0.88,-2.59,2.01,0.78,3.64,6.74,1.53,1.04,9,2.13,2.28,2.23,3.9
Pt-Ru@Pt ,-1.43,0.87,-2.32,1.88,0.42,3.34,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Pt-Rh@Pt ,-1.49,0.88,-2.19,1.84,0.36,3.45,6.74,1.53,1.04,9,2.13,2.28,2.28,3.9
Pt-Pd@Pt ,-1.64,0.88,-1.86,1.71,0.28,3.65,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Pt-Ag@Pt ,-1.52,0.9,-1.56,1.62,0.23,4.47,6.74,1.53,1.04,9,2.13,2.28,2.12,3.9
Pt-La@Pt ,-0.72,0.88,-2.05,1.69,1.01,5.86,6.74,1.53,1.04,9,2.13,2.28,1.65,3.9
Pt-Ta@Pt ,-1.04,0.88,-2.74,2.15,1.07,4.36,6.74,1.53,1.04,9,2.13,2.28,1.89,3.9
Pt-W@Pt ,-1.08,0.87,-2.76,2.16,0.8,3.71,6.74,1.53,1.04,9,2.13,2.28,2.32,3.9
Pt-Re@Pt ,-1.2,0.88,-2.73,2.14,0.56,3.34,6.74,1.53,1.04,9,2.13,2.28,2.1,3.9
Pt-Os@Pt ,-1.4,0.88,-2.65,2.1,0.37,3.27,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Pt-Ir@Pt ,-1.52,0.87,-2.41,2.01,0.25,3.39,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Pt-Pt@Pt ,-1.7,0.88,-2.03,1.87,0.17,3.65,6.74,1.53,1.04,9,2.13,2.28,2.28,3.9
Pt-Au@Pt ,-1.67,0.89,-1.63,1.74,0.07,4.25,6.74,1.53,1.04,9,2.13,2.28,2.39,3.9
Cu3Sc@Cu ,-0.51,0.97,-2.38,0.91,2.41,16.4,5.3,1.41,0.67,7.73,1.24,1.9,1.76,1
Cu3Ti@Cu ,-0.52,0.97,-2.45,0.97,1.96,13.27,5.3,1.41,0.67,7.73,1.24,1.9,1.81,1
Cu3V@Cu ,-0.65,0.97,-2.34,1,1.78,12.24,5.3,1.41,0.67,7.73,1.24,1.9,1.84,1
Cu3Cr@Cu ,-0.66,0.97,-2.36,1.01,1.7,12.23,5.3,1.41,0.67,7.73,1.24,1.9,1.84,1
Cu3Mn@Cu ,-0.63,0.97,-2.38,1.01,1.55,12.33,5.3,1.41,0.67,7.73,1.24,1.9,1.82,1
Cu3Co@Cu ,-0.63,0.97,-2.19,1.07,1.19,9.91,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu3Ni@Cu ,-0.66,0.97,-2.15,1.07,1.17,9.8,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu3Cu@Cu ,-0.63,0.97,-2.26,1.06,1.11,10.84,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu3Zn@Cu ,-0.7,0.98,-2.36,1.02,0.94,13.94,5.3,1.41,0.67,7.73,1.24,1.9,1.84,1
Cu3Ga@Cu ,-0.72,0.97,-2.53,1.06,0.85,15.36,5.3,1.41,0.67,7.73,1.24,1.9,1.88,1
Cu3Ge@Cu ,-0.8,0.97,-2.46,1.09,0.54,14.48,5.3,1.41,0.67,7.73,1.24,1.9,1.92,1
Cu3Y@Cu ,-0.49,0.97,-2.31,0.9,2.2,15.96,5.3,1.41,0.67,7.73,1.24,1.9,1.72,1
Cu3Zr@Cu ,-0.56,0.97,-2.39,0.93,2.37,15.68,5.3,1.41,0.67,7.73,1.24,1.9,1.76,1
Cu3Nb@Cu ,-0.51,0.97,-2.36,0.99,1.91,12.49,5.3,1.41,0.67,7.73,1.24,1.9,1.83,1
Cu3Mo@Cu ,-0.48,0.97,-2.27,1.03,1.51,10.49,5.3,1.41,0.67,7.73,1.24,1.9,1.95,1
Cu3Ru@Cu ,-0.67,0.97,-2.04,1.04,1.06,9.17,5.3,1.41,0.67,7.73,1.24,1.9,1.96,1
Cu3Rh@Cu ,-0.72,0.97,-1.98,1.04,0.99,9.29,5.3,1.41,0.67,7.73,1.24,1.9,1.98,1
Cu3Pd@Cu ,-0.7,0.97,-1.94,1.01,0.87,9.99,5.3,1.41,0.67,7.73,1.24,1.9,1.96,1
Cu3Ag@Cu ,-0.7,0.98,-2.09,0.96,0.77,13.51,5.3,1.41,0.67,7.73,1.24,1.9,1.91,1
Cu3In@Cu ,-0.75,0.98,-2.39,0.99,-0.21,29.99,5.3,1.41,0.67,7.73,1.24,1.9,1.87,1
Cu3La@Cu ,-0.6,0.97,-2.16,0.86,2.11,16.29,5.3,1.41,0.67,7.73,1.24,1.9,1.68,1
Cu3Ta@Cu ,-0.49,0.97,-2.47,1.03,1.9,12.33,5.3,1.41,0.67,7.73,1.24,1.9,1.8,1
Cu3W@Cu ,-0.46,0.97,-2.38,1.08,1.49,10.17,5.3,1.41,0.67,7.73,1.24,1.9,1.99,1
Cu3Re@Cu ,-0.49,0.97,-2.31,1.13,1.11,8.69,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu3Os@Cu ,-0.65,0.97,-2.23,1.13,0.92,8.43,5.3,1.41,0.67,7.73,1.24,1.9,1.96,1
